t (ms);Axis_1 [1] Default\P-Parameter\P-0-0065 Absolute voltage value, actual value(V eff);Axis_1 [1] Default\P-Parameter\P-0-0067 Phase current U, actual value(A);Axis_1 [1] Default\P-Parameter\P-0-0068 Phase current V, actual value(A);Axis_1 [1] Default\S-Parameter\S-0-0380 DC bus voltage(V)
-406;2,3;0,208;0,082;562,5;
-405,5;4;0,167;0,045;562,4;
-405;4,7;0,204;0,059;562,4;
-404,5;2,9;0,194;0,073;562,4;
-404;5,9;0,151;0,04;562,4;
-403,5;3,5;0,219;0,083;562,3;
-403;2,9;0,192;0,068;562,3;
-402,5;3,1;0,179;0,062;562,2;
-402;5,6;0,174;0,04;562,2;
-401,5;6,9;0,146;0,042;562,1;
-401;2,2;0,265;0,076;563,1;
-400,5;1,9;0,144;0,061;563;
-400;5,6;0,167;0,068;563;
-399,5;2;0,24;0,072;562,9;
-399;1,4;0,224;0,045;562,9;
-398,5;4,1;0,179;0,063;562,8;
-398;5,2;0,184;0,091;562,8;
-397,5;2,6;0,209;0,087;562,7;
-397;3,8;0,172;0,067;562,7;
-396,5;4,2;0,185;0,069;562,6;
-396;3,1;0,185;0,069;562,5;
-395,5;3,6;0,218;0,09;562,6;
-395;3,2;0,192;0,063;562,5;
-394,5;3,3;0,168;0,066;562,5;
-394;2,6;0,217;0,073;562,3;
-393,5;2,6;0,252;0,09;562,3;
-393;3;0,16;0,067;562,3;
-392,5;4,7;0,179;0,059;562,1;
-392;5,4;0,183;0,072;562,1;
-391,5;2,5;0,185;0,092;562,1;
-391;2,3;0,209;0,077;562,7;
-390,5;2,5;0,203;0,093;562,6;
-390;5,3;0,193;0,064;562,7;
-389,5;3,6;0,189;0,049;562,5;
-389;1,6;0,199;0,072;562,5;
-388,5;2,2;0,226;0,086;562,6;
-388;1;0,23;0,09;562,4;
-387,5;4,2;0,188;0,069;562,4;
-387;3,4;0,211;0,064;562,3;
-386,5;5,6;0,138;0,068;562,3;
-386;5,6;0,207;0,061;562,2;
-385,5;3,1;0,203;0,066;562,2;
-385;3,5;0,204;0,035;562,2;
-384,5;2,9;0,265;0,073;562,1;
-384;3,7;0,145;0,061;562,1;
-383,5;3,7;0,198;0,061;562,1;
-383;3,8;0,187;0,076;562;
-382,5;3,5;0,203;0,054;562;
-382;2,8;0,198;0,096;562;
-381,5;2,7;0,224;0,092;561,9;
-381;3,5;0,191;0,048;563;
-380,5;4,9;0,174;0,057;563;
-380;3,7;0,202;0,059;562,8;
-379,5;2;0,228;0,069;562,8;
-379;3,5;0,153;0,067;562,7;
-378,5;3,2;0,258;0,083;562,7;
