t (ms);Axis_1 [1] Default\P-Parameter\P-0-0038 Torque-generating current, command value(A eff);Axis_1 [1] Default\P-Parameter\P-0-0039 Flux-generating current, command value(A eff);Axis_1 [1] Default\P-Parameter\P-0-0043 Torque-generating current, actual value(A eff);Axis_1 [1] Default\P-Parameter\P-0-0044 Flux-generating current, actual value(A eff)
-359,5;-0,006;0;-0,006;0,001;
-359;-0,005;0;-0,012;0;
-358,5;0,02;0;0,01;0,001;
-358;0;0;-0,003;0;
-357,5;0,008;0;0,003;0;
-357;0;0;0,006;-0,011;
-356,5;0;0;-0,003;0,005;
-356;0,013;0;-0,004;0,004;
-355,5;0,006;0;-0,013;0,009;
-355;0,005;0;0,001;0;
-354,5;-0,001;0;0,018;-0,001;
-354;0,008;0;0,014;-0,009;
-353,5;-0,004;0;0,011;0,015;
-353;-0,005;0;-0,01;-0,009;
-352,5;0,004;0;-0,006;0,001;
-352;0,013;0;0;-0,003;
-351,5;-0,01;0;-0,017;0;
-351;0;0;-0,01;0,004;
-350,5;0,019;0;-0,004;-0,007;
-350;0,003;0;-0,012;-0,005;
-349,5;0;0;-0,012;0,002;
-349;0,007;0;-0,009;0,002;
-348,5;0,019;0;-0,017;0,004;
-348;-0,012;0;0,003;-0,003;
-347,5;0,006;0;-0,004;0,007;
-347;0,004;0;0;0,001;
-346,5;0,006;0;-0,009;-0,004;
-346;-0,011;0;0,021;-0,004;
-345,5;-0,006;0;-0,012;-0,007;
-345;0,01;0;0,004;-0,001;
-344,5;0,009;0;0,006;0,003;
-344;0,003;0;0,011;0;
-343,5;0,012;0;0,011;-0,007;
-343;-0,004;0;0,012;-0,005;
-342,5;-0,001;0;-0,011;0,001;
-342;0,004;0;-0,006;0;
-341,5;0,006;0;0,003;0,004;
-341;-0,016;0;-0,012;-0,003;
-340,5;-0,02;0;-0,003;-0,002;
-340;-0,007;0;-0,008;0,004;
-339,5;-0,014;0;-0,007;0;
-339;-0,009;0;0,003;-0,003;
-338,5;-0,012;0;0,01;0;
-338;-0,03;0;0;0,004;
-337,5;-0,001;0;0,007;0,003;
-337;-0,001;0;0;0,002;
-336,5;0;0;-0,013;-0,003;
-336;-0,023;0;-0,006;-0,005;
-335,5;-0,003;0;0,003;-0,008;
-335;-0,001;0;-0,001;-0,01;
-334,5;0,002;0;-0,003;0,003;
-334;-0,011;0;0,01;0,003;
-333,5;0,023;0;0;-0,002;
-333;0,015;0;-0,011;-0,003;
-332,5;-0,011;0;0,019;0;
-332;0,014;0;0,024;-0,002;
-331,5;0,02;0;0,014;0,014;
-331;-0,016;0;-0,005;0;
-330,5;0,036;0;0;0,004;
-330;-0,02;0;-0,009;0,001;
-329,5;0,009;0;0,007;0,015;
-329;0,002;0;0,008;-0,011;
-328,5;-0,004;0;-0,008;0;
-328;-0,022;0;0,008;0,008;
-327,5;-0,012;0;0,02;0,012;
-327;0,016;0;0,01;-0,02;
-326,5;0;0;-0,011;0;
-326;-0,017;0;-0,001;-0,002;
-325,5;0,014;0;-0,021;-0,008;
-325;0,004;0;0,014;0;
-324,5;0,008;0;-0,013;0;
-324;0,014;0;0,014;0,004;
-323,5;-0,001;0;-0,013;0,004;
-323;0;0;0,004;0,001;
-322,5;0,024;0;0;0,007;
-322;0,009;0;-0,001;0,001;
-321,5;-0,025;0;-0,004;0,001;
-321;-0,004;0;0,013;-0,003;
-320,5;0,001;0;0,007;0,001;
-320;0,006;0;-0,013;-0,014;
-319,5;-0,005;0;-0,006;-0,004;
-319;0,008;0;0,01;-0,015;
-318,5;-0,018;0;0,002;0,011;
-318;0,013;0;0,026;0;
-317,5;-0,004;0;-0,005;-0,003;
-317;0,009;0;0,017;0;
-316,5;-0,009;0;0,027;-0,003;
-316;-0,02;0;0,002;0,006;
-315,5;-0,001;0;-0,022;0,003;
-315;0,004;0;-0,025;-0,004;
-314,5;0,005;0;0,025;0,018;
-314;0,007;0;0,003;-0,001;
-313,5;0,006;0;-0,001;-0,009;
-313;0,01;0;-0,016;0,013;
-312,5;0,006;0;-0,006;0,012;
-312;-0,013;0;0,006;0,011;
-311,5;-0,014;0;0,013;-0,012;
-311;0,005;0;-0,018;0,008;
-310,5;0,01;0;-0,006;0,001;
-310;-0,002;0;0,001;-0,001;
-309,5;-0,014;0;0,003;0,006;
-309;0,009;0;0,006;0;
-308,5;-0,001;0;0,003;0,004;
-308;-0,009;0;-0,01;0,007;
-307,5;0,008;0;-0,009;0,001;
-307;-0,004;0;0,014;0,007;
-306,5;0,013;0;0,01;0;
-306;-0,009;0;-0,014;-0,001;
-305,5;-0,019;0;0,007;0;
-305;-0,014;0;0,007;0,004;
-304,5;-0,014;0;0,011;-0,003;
-304;0,011;0;0;0,002;
-303,5;0,006;0;-0,007;0,004;
-303;-0,019;0;-0,015;-0,004;
-302,5;0,016;0;0,005;-0,001;
-302;-0,004;0;0,002;-0,004;
-301,5;-0,003;0;0,026;0,011;
-301;0,008;0;-0,002;0,007;
-300,5;-0,016;0;-0,013;0,006;
-300;0;0;0,011;0,005;
-299,5;0,004;0;0;-0,004;
-299;-0,008;0;0;0,001;
-298,5;0,022;0;-0,013;0,001;
-298;-0,002;0;-0,003;0;
-297,5;-0,011;0;0,019;-0,002;
-297;-0,018;0;-0,001;0;
-296,5;-0,005;0;0,006;0,002;
-296;0;0;0,003;0,006;
-295,5;-0,011;0;0,024;-0,003;
-295;0,004;0;0;-0,007;
-294,5;-0,005;0;-0,008;0,009;
-294;0,015;0;-0,015;-0,004;
-293,5;-0,011;0;0,002;0,006;
-293;-0,014;0;-0,014;-0,007;
-292,5;0,016;0;0;0,005;
-292;-0,007;0;-0,002;-0,011;
-291,5;0,014;0;0,01;-0,011;
-291;0,009;0;0;0;
-290,5;0,018;0;-0,003;0,003;
-290;-0,001;0;0,02;0,006;
-289,5;0,003;0;0,006;0,002;
-289;-0,017;0;-0,002;0;
-288,5;0,004;0;-0,009;0;
-288;0,003;0;0;0;
-287,5;0,009;0;0,004;0;
-287;0,001;0;0,001;-0,007;
-286,5;-0,019;0;0,012;0,01;
-286;0,011;0;-0,004;0,005;
-285,5;0,003;0;-0,003;0,006;
-285;0,017;0;-0,011;-0,003;
-284,5;0,017;0;-0,002;-0,006;
-284;-0,016;0;0,009;-0,006;
-283,5;0,009;0;-0,007;0;
-283;-0,004;0;-0,002;0,005;
-282,5;-0,014;0;0,018;0,01;
-282;0,008;0;-0,005;0;
-281,5;0;0;-0,006;0,012;
-281;0,004;0;0,024;0,017;
-280,5;0,007;0;-0,009;-0,006;
-280;-0,016;0;0,014;-0,014;
-279,5;0,014;0;0,024;0,008;
-279;-0,002;0;-0,016;0,01;
-278,5;-0,024;0;0,006;0;
-278;-0,002;0;0,003;0,005;
-277,5;0,008;0;-0,013;0,005;
-277;0,011;0;-0,002;-0,005;
-276,5;-0,009;0;-0,003;0,011;
-276;-0,006;0;-0,001;0,002;
-275,5;-0,012;0;0,011;-0,004;
-275;-0,004;0;0;0,002;
-274,5;0;0;0,004;0,005;
-274;0,028;0;-0,013;0;
-273,5;-0,005;0;-0,005;-0,001;
-273;0,006;0;-0,021;-0,008;
-272,5;0;0;-0,008;-0,002;
-272;-0,004;0;0,013;0,007;
-271,5;-0,019;0;0,009;-0,002;
-271;0,019;0;0,018;0,011;
-270,5;0,008;0;0,006;-0,003;
-270;-0,014;0;-0,022;-0,002;
-269,5;-0,001;0;0,016;0,003;
-269;0,004;0;0,013;0,008;
-268,5;0,008;0;0,008;0,003;
-268;0,012;0;0,001;0;
-267,5;-0,002;0;-0,013;0,001;
-267;-0,01;0;0,009;0,001;
-266,5;-0,01;0;-0,001;0,003;
-266;0,002;0;0,008;-0,007;
-265,5;-0,015;0;0,019;0,003;
-265;0,009;0;0,014;-0,001;
-264,5;0;0;0,001;0;
-264;-0,009;0;0,017;0,006;
-263,5;-0,013;0;0,023;-0,001;
-263;0,005;0;-0,006;0,006;
-262,5;0,014;0;-0,005;0;
-262;0,003;0;-0,001;-0,004;
-261,5;0,002;0;0,002;0,006;
-261;0,019;0;-0,009;0,004;
-260,5;0,008;0;-0,001;0;
-260;0;0;-0,023;0,002;
-259,5;0,001;0;-0,013;-0,004;
-259;-0,003;0;0,01;0,004;
-258,5;0,001;0;0,032;0,007;
-258;0,017;0;0,005;0,003;
-257,5;0,004;0;0,003;0,002;
-257;-0,01;0;0,01;0;
-256,5;-0,017;0;0,01;0,012;
-256;0,01;0;-0,003;0,006;
-255,5;0,004;0;0,007;0,004;
-255;-0,002;0;-0,001;0,002;
-254,5;-0,014;0;-0,01;0,007;
-254;-0,01;0;-0,01;0,009;
-253,5;0,011;0;-0,009;-0,002;
-253;0;0;-0,015;0,001;
-252,5;0,019;0;0;0,003;
-252;-0,004;0;0,007;0,002;
-251,5;-0,004;0;-0,01;0,002;
-251;-0,013;0;-0,002;-0,002;
-250,5;-0,005;0;0,017;-0,012;
-250;0,004;0;0,005;0;
-249,5;0,003;0;0,009;0,002;
-249;0,023;0;-0,002;-0,006;
-248,5;0,004;0;-0,005;-0,008;
-248;0,016;0;0,015;-0,01;
-247,5;0;0;-0,022;-0,001;
-247;-0,006;0;0,003;-0,003;
-246,5;0,004;0;0,021;0,002;
-246;0,018;0;-0,01;-0,002;
-245,5;-0,015;0;-0,02;0,005;
-245;0,009;0;0,006;-0,01;
-244,5;-0,014;0;0,018;0;
-244;0,008;0;0,009;0,005;
-243,5;-0,006;0;-0,033;-0,002;
-243;0,001;0;-0,007;0;
-242,5;-0,004;0;0;-0,002;
-242;-0,001;0;0,005;0,01;
-241,5;0,015;0;0,005;0,009;
-241;-0,004;0;0;0,009;
-240,5;0,003;0;0,001;0,002;
-240;-0,01;0;0,008;0,004;
-239,5;0;0;0,012;0,001;
-239;-0,014;0;0,022;0,004;
-238,5;0,004;0;0,003;0;
-238;-0,014;0;-0,029;-0,003;
-237,5;-0,012;0;-0,001;-0,01;
-237;0,016;0;-0,014;-0,001;
-236,5;0,004;0;-0,006;-0,025;
-236;0,014;0;0,01;0,003;
-235,5;0,002;0;-0,008;-0,012;
-235;-0,004;0;0,029;0,004;
-234,5;0,002;0;-0,012;0;
-234;-0,022;0;0,003;-0,009;
-233,5;0,009;0;-0,003;-0,005;
-233;-0,019;0;-0,007;0,004;
-232,5;0,007;0;-0,018;-0,008;
-232;0,008;0;-0,005;0,001;
-231,5;0,01;0;0,009;0,011;
-231;0,002;0;0;-0,004;
-230,5;-0,001;0;0,017;-0,002;
-230;0,013;0;-0,015;-0,006;
-229,5;0;0;0;-0,006;
-229;0,006;0;-0,006;0,017;
-228,5;-0,015;0;-0,002;-0,002;
-228;-0,015;0;0,012;0,005;
-227,5;-0,004;0;0,001;0,003;
-227;-0,013;0;0,02;-0,015;
-226,5;0,014;0;0,017;0,01;
-226;-0,004;0;0,007;0;
-225,5;0,015;0;0,002;0;
-225;0,005;0;-0,016;-0,009;
-224,5;0,009;0;-0,005;-0,003;
-224;-0,016;0;-0,005;0,001;
-223,5;-0,004;0;-0,035;-0,011;
-223;0,005;0;-0,004;-0,014;
-222,5;-0,005;0;-0,014;-0,001;
-222;-0,003;0;-0,004;-0,016;
-221,5;0,01;0;0,008;0,012;
-221;-0,014;0;0;-0,005;
-220,5;0,005;0;0,017;0,009;
-220;0;0;0;0,001;
-219,5;0;0;-0,019;-0,009;
-219;-0,004;0;0,002;0,001;
-218,5;-0,005;0;0;0,006;
-218;-0,01;0;0,029;-0,002;
-217,5;-0,002;0;-0,002;0,006;
-217;0;0;-0,014;0,004;
-216,5;-0,005;0;0;0;
-216;-0,009;0;-0,002;0;
-215,5;0,017;0;-0,016;-0,001;
-215;0,002;0;0,004;0;
-214,5;-0,008;0;0,007;0;
-214;0;0;0,007;-0,005;
-213,5;-0,009;0;-0,014;0;
-213;-0,004;0;0,009;0;
-212,5;-0,004;0;-0,016;-0,01;
-212;-0,008;0;0,018;-0,006;
-211,5;-0,004;0;0,029;0,013;
-211;0,018;0;0,002;0,007;
-210,5;-0,003;0;-0,01;-0,003;
-210;0,013;0;0,012;-0,002;
-209,5;0,009;0;0,008;0;
-209;0,004;0;0,005;0,006;
-208,5;-0,007;0;-0,006;0;
-208;-0,009;0;0,028;-0,006;
-207,5;-0,006;0;0,017;0,004;
-207;0,011;0;-0,003;-0,001;
-206,5;0,02;0;-0,011;0,007;
-206;-0,017;0;0;-0,006;
-205,5;-0,002;0;0,006;0,006;
-205;0,014;0;-0,015;0,005;
-204,5;0;0;-0,01;0;
-204;-0,003;0;0,005;-0,009;
-203,5;0,013;0;0,018;0,003;
-203;-0,004;0;-0,018;0,004;
-202,5;0,014;0;0,003;-0,003;
-202;-0,007;0;-0,003;0,005;
-201,5;0,008;0;-0,009;-0,004;
-201;0,012;0;0,006;0,003;
-200,5;0,015;0;-0,008;0,004;
-200;0;0;-0,002;0,003;
-199,5;-0,005;0;-0,003;-0,012;
-199;-0,002;0;0,001;0,006;
-198,5;0;0;0,008;0,006;
-198;0,02;0;0,003;0,002;
-197,5;-0,01;0;-0,002;-0,006;
-197;-0,008;0;0,003;0,012;
-196,5;-0,008;0;0,004;0,003;
-196;0,011;0;-0,025;-0,004;
-195,5;0,014;0;-0,016;0,001;
-195;-0,009;0;-0,014;0,006;
-194,5;-0,01;0;0,003;0,008;
-194;-0,006;0;0,009;0,001;
-193,5;0,004;0;0;-0,003;
-193;0,021;0;-0,009;-0,002;
-192,5;0,002;0;-0,014;-0,002;
-192;0;0;-0,021;0,005;
-191,5;0,001;0;-0,004;0,007;
-191;-0,002;0;0,012;0,007;
-190,5;-0,007;0;0,02;-0,002;
-190;0;0;0,002;0,009;
-189,5;-0,004;0;0;0;
-189;0,003;0;-0,003;0,007;
-188,5;-0,009;0;0,01;0,009;
-188;0,006;0;0,013;0;
-187,5;-0,018;0;0,012;-0,013;
-187;0,002;0;0,024;-0,002;
-186,5;0,023;0;-0,007;0,007;
-186;0,018;0;-0,002;0,002;
-185,5;-0,028;0;0,004;0;
-185;0,002;0;-0,001;0,002;
-184,5;-0,011;0;0,008;-0,001;
-184;-0,015;0;0,017;0,002;
-183,5;0,001;0;0,029;0,005;
-183;0,007;0;0,019;0,007;
-182,5;-0,027;0;0,014;0;
-182;-0,006;0;0,037;0;
-181,5;0,014;0;0;0,001;
-181;0,015;0;0,003;0,003;
-180,5;0,007;0;-0,005;0,005;
-180;0,011;0;-0,011;0,008;
-179,5;0,003;0;-0,028;0,004;
-179;0,003;0;-0,005;-0,001;
-178,5;-0,004;0;-0,009;0,009;
-178;0,012;0;-0,011;-0,001;
-177,5;-0,012;0;0;0,003;
-177;-0,001;0;-0,006;-0,017;
-176,5;-0,017;0;0,004;-0,002;
-176;0;0;0,003;-0,001;
-175,5;0;0;0,002;0,007;
-175;-0,008;0;0,025;0;
-174,5;-0,02;0;0,011;-0,013;
-174;0,015;0;0,011;0;
-173,5;0,003;0;-0,022;-0,004;
-173;0,002;0;0,016;0,011;
-172,5;0;0;-0,02;-0,002;
-172;-0,011;0;-0,005;0,009;
-171,5;-0,012;0;0,014;-0,003;
-171;0,004;0;0,011;-0,007;
-170,5;0,004;0;0,024;0,005;
-170;0,003;0;0,018;-0,001;
-169,5;0,001;0;0,004;-0,001;
-169;0,001;0;0,015;-0,005;
-168,5;-0,009;0;0,007;-0,003;
-168;-0,019;0;0;-0,003;
-167,5;-0,002;0;0,011;0,002;
-167;0;0;0;0;
-166,5;-0,004;0;-0,004;-0,001;
-166;-0,016;0;0,012;-0,007;
-165,5;0,001;0;-0,003;0,003;
-165;0,023;0;-0,007;-0,013;
-164,5;-0,013;0;0,01;0,006;
-164;0,008;0;-0,006;-0,002;
-163,5;0,002;0;0,008;0,001;
-163;-0,004;0;-0,012;-0,008;
-162,5;0,012;0;-0,01;-0,008;
-162;0,004;0;-0,019;-0,009;
-161,5;-0,008;0;-0,003;-0,003;
-161;-0,008;0;0,023;0,004;
-160,5;0,012;0;-0,016;0,002;
-160;-0,018;0;0,013;-0,006;
-159,5;0,005;0;0,016;0,002;
-159;0,009;0;-0,011;-0,006;
-158,5;-0,004;0;-0,003;0,007;
-158;0;0;0,011;0;
-157,5;0,011;0;0,03;0,008;
-157;-0,009;0;0,005;-0,005;
-156,5;0,008;0;0,029;0;
-156;-0,011;0;-0,005;-0,003;
-155,5;-0,001;0;0;-0,006;
-155;0,008;0;0,01;0,006;
-154,5;0,009;0;0,023;0,004;
-154;0;0;-0,017;-0,001;
-153,5;0,004;0;0,004;0,001;
-153;0,008;0;-0,003;0,009;
-152,5;0,009;0;0,02;0;
-152;-0,003;0;-0,019;0;
-151,5;0,019;0;0,017;0,002;
-151;-0,002;0;-0,001;-0,009;
-150,5;0,012;0;-0,001;-0,006;
-150;0,008;0;-0,009;0;
-149,5;0,016;0;-0,003;0;
-149;0,002;0;-0,009;0,004;
-148,5;-0,009;0;-0,002;0;
-148;0,011;0;0,018;-0,005;
-147,5;0;0;0,003;0,005;
-147;-0,005;0;0,009;0;
-146,5;0,008;0;-0,008;0,013;
-146;-0,011;0;-0,018;-0,001;
-145,5;0,003;0;0,003;0,004;
-145;0,008;0;-0,041;0;
-144,5;-0,001;0;-0,001;0;
-144;0,007;0;0,01;0;
-143,5;-0,001;0;-0,025;0,009;
-143;0,014;0;0,002;0,002;
-142,5;0,004;0;-0,003;-0,002;
-142;-0,005;0;-0,003;-0,007;
-141,5;-0,003;0;-0,021;-0,003;
-141;0,002;0;-0,017;0;
-140,5;0,004;0;-0,033;0;
-140;0,002;0;-0,01;-0,006;
-139,5;0;0;-0,013;0;
-139;0,013;0;-0,006;-0,002;
-138,5;0,005;0;-0,007;0,006;
-138;-0,006;0;-0,008;0;
-137,5;-0,009;0;0,009;-0,001;
-137;0,001;0;0,021;0,006;
-136,5;0,012;0;0,001;-0,005;
-136;-0,018;0;0;-0,003;
-135,5;-0,002;0;0,01;0,005;
-135;0,003;0;0,001;0,002;
-134,5;-0,013;0;0,01;-0,01;
-134;0,005;0;0,008;-0,004;
-133,5;0,015;0;0,007;-0,004;
-133;-0,002;0;0,005;0,008;
-132,5;-0,013;0;0,004;-0,002;
-132;-0,002;0;-0,036;-0,02;
-131,5;0,009;0;-0,014;0,006;
-131;-0,002;0;0,014;-0,004;
-130,5;0;0;-0,02;0,007;
-130;0,004;0;-0,015;0;
-129,5;0,005;0;-0,015;-0,008;
-129;0,004;0;0,004;-0,012;
-128,5;0,007;0;0,04;0,001;
-128;0,015;0;0,007;0,001;
-127,5;0,01;0;-0,015;0,001;
-127;-0,009;0;-0,003;0,006;
-126,5;-0,001;0;-0,007;0,003;
-126;0,004;0;0,003;-0,001;
-125,5;0,005;0;0,019;0,007;
-125;0,007;0;0,023;0,007;
-124,5;0;0;0,001;-0,011;
-124;-0,002;0;-0,004;-0,002;
-123,5;0,007;0;-0,017;-0,009;
-123;0,033;0;-0,024;0,006;
-122,5;0;0;-0,018;-0,004;
-122;0,008;0;-0,006;-0,003;
-121,5;0,014;0;-0,016;0,001;
-121;0,004;0;-0,014;-0,007;
-120,5;0,004;0;-0,002;-0,005;
-120;0,003;0;-0,017;0,001;
-119,5;0;0;0,006;0,008;
-119;0,014;0;0,002;0,003;
-118,5;0,014;0;-0,042;0,002;
-118;-0,014;0;-0,021;0,004;
-117,5;-0,01;0;0,009;-0,005;
-117;0,014;0;-0,014;0,008;
-116,5;-0,014;0;-0,005;0;
-116;-0,017;0;-0,001;-0,008;
-115,5;-0,003;0;-0,014;-0,008;
-115;-0,019;0;0,018;0,012;
-114,5;0,008;0;0,006;0;
-114;0;0;-0,003;0,002;
-113,5;-0,017;0;0,004;0,01;
-113;-0,014;0;0,021;-0,003;
-112,5;0,001;0;0,012;0,003;
-112;0,002;0;-0,011;-0,007;
-111,5;0,009;0;-0,004;-0,011;
-111;-0,006;0;-0,003;-0,005;
-110,5;-0,004;0;-0,003;0,014;
-110;-0,011;0;-0,006;0,001;
-109,5;-0,001;0;0,018;0,005;
-109;0,004;0;-0,01;0,001;
-108,5;-0,009;0;-0,003;0,002;
-108;0,008;0;0,007;-0,008;
-107,5;-0,007;0;0,011;0,004;
-107;0,015;0;0,002;0,005;
-106,5;-0,014;0;-0,005;-0,006;
-106;0,015;0;-0,006;0;
-105,5;0,005;0;-0,008;0,007;
-105;0;0;0,036;-0,01;
-104,5;-0,004;0;-0,001;0,004;
-104;0;0;-0,008;0,005;
-103,5;0,005;0;-0,019;-0,002;
-103;-0,003;0;-0,006;0,012;
-102,5;-0,01;0;0;0,003;
-102;-0,009;0;-0,014;0,006;
-101,5;-0,008;0;-0,022;0,004;
-101;-0,002;0;0,011;0,005;
-100,5;0,011;0;0,005;0,009;
-100;0,007;0;-0,024;0,008;
-99,5;-0,001;0;-0,019;-0,015;
-99;-0,005;0;0,007;-0,002;
-98,5;-0,016;0;0,004;0,013;
-98;0,023;0;-0,001;-0,003;
-97,5;-0,003;0;0,003;0,002;
-97;0;0;0,012;0,009;
-96,5;0;0;0,012;0,002;
-96;-0,002;0;0,009;-0,008;
-95,5;-0,004;0;-0,025;-0,003;
-95;0,014;0;-0,011;0,001;
-94,5;-0,014;0;0,01;0,001;
-94;-0,012;0;0,015;0,019;
-93,5;0,024;0;-0,011;0,003;
-93;-0,008;0;-0,01;0,007;
-92,5;0,007;0;0;0,002;
-92;0,016;0;-0,017;0;
-91,5;0,012;0;0,006;-0,005;
-91;-0,014;0;-0,01;0,003;
-90,5;0;0;-0,005;0,01;
-90;-0,009;0;0;0,003;
-89,5;-0,014;0;-0,001;-0,003;
-89;-0,014;0;-0,001;-0,003;
-88,5;0,011;0;-0,003;0;
-88;0,006;0;-0,011;-0,003;
-87,5;0,019;0;0,006;-0,009;
-87;-0,015;0;0;0,002;
-86,5;-0,001;0;0,015;-0,003;
-86;0,005;0;-0,019;-0,003;
-85,5;-0,014;0;-0,008;0;
-85;0;0;0,001;0,003;
-84,5;0,014;0;-0,009;0;
-84;0,008;0;-0,008;-0,001;
-83,5;-0,007;0;0;0,003;
-83;0,009;0;-0,001;0,005;
-82,5;-0,002;0;-0,017;-0,002;
-82;-0,013;0;0,006;0,001;
-81,5;0,014;0;0,003;0,002;
-81;-0,008;0;-0,006;-0,001;
-80,5;0;0;0,004;-0,006;
-80;0;0;-0,009;-0,004;
-79,5;-0,001;0;0,004;0;
-79;0,005;0;-0,01;-0,003;
-78,5;0,012;0;-0,009;0,006;
-78;-0,004;0;0,026;0,006;
-77,5;-0,005;0;-0,012;0,006;
-77;0,004;0;0,009;-0,001;
-76,5;-0,006;0;0,003;0,003;
-76;-0,002;0;0,02;0;
-75,5;0,002;0;0,024;0,007;
-75;0,005;0;0,032;0;
-74,5;0,02;0;0,022;0,002;
-74;0;0;0;0,01;
-73,5;-0,003;0;-0,001;-0,01;
-73;0;0;-0,001;-0,006;
-72,5;-0,009;0;0;0,006;
-72;-0,007;0;0,007;0,005;
-71,5;-0,018;0;-0,006;0,001;
-71;0,018;0;0,025;0,001;
-70,5;0,015;0;0,006;-0,01;
-70;0,011;0;0,006;0,002;
-69,5;-0,002;0;0,012;0,009;
-69;-0,008;0;-0,006;0;
-68,5;0,012;0;-0,003;0,011;
-68;-0,014;0;-0,004;-0,005;
-67,5;-0,01;0;-0,007;0,003;
-67;0,003;0;0,009;-0,019;
-66,5;0,009;0;-0,006;0;
-66;0,009;0;-0,004;0,006;
-65,5;-0,016;0;-0,007;0;
-65;0,009;0;-0,011;-0,006;
-64,5;-0,028;0;-0,011;-0,004;
-64;-0,006;0;0;0,005;
-63,5;0,003;0;0,01;0,005;
-63;0,013;0;0,005;-0,001;
-62,5;0;0;0;0,008;
-62;0,001;0;-0,001;0,008;
-61,5;-0,011;0;0;0,007;
-61;-0,024;0;0,02;0,011;
-60,5;0,015;0;-0,009;0,001;
-60;0,011;0;-0,008;0;
