t (ms);Axis_1 [1] Default\P-Parameter\P-0-0065 Absolute voltage value, actual value(V eff);Axis_1 [1] Default\P-Parameter\P-0-0067 Phase current U, actual value(A);Axis_1 [1] Default\P-Parameter\P-0-0068 Phase current V, actual value(A);Axis_1 [1] Default\S-Parameter\S-0-0380 DC bus voltage(V)
-406;0,3;0,008;-0,008;561,5;
-405,5;0,6;-0,02;0;561,5;
-405;0,6;0,017;-0,003;561,4;
-404,5;0,7;0,01;-0,014;561,4;
-404;0,4;-0,006;0,015;561,3;
-403,5;1;-0,005;-0,012;561,3;
-403;0,7;-0,015;0,008;561,2;
-402,5;1;-0,009;0,013;561,2;
-402;0,5;0;0,005;561,1;
-401,5;0,2;0,007;0,01;561;
-401;1,2;-0,019;-0,003;561;
-400,5;0,5;0,012;-0,012;560,9;
-400;0,7;0,004;-0,003;560,8;
-399,5;1,2;-0,01;-0,009;560,9;
-399;0,3;0;-0,012;561,2;
-398,5;0,8;0,016;0,001;561,6;
-398;0,2;0,013;-0,001;561,6;
-397,5;0,5;0,005;0,005;561,6;
-397;0,4;-0,007;0,018;561,5;
-396,5;1,1;-0,006;-0,012;561,4;
-396;0,6;0,012;-0,001;561,4;
-395,5;0,4;-0,004;0,014;561,4;
-395;0,5;-0,01;0,004;561,3;
-394,5;0,7;0,01;0,003;561,2;
-394;1,4;-0,012;-0,019;561,2;
-393,5;1,4;0,007;-0,013;561,2;
-393;0,2;0,004;-0,009;561,2;
-392,5;0,3;0,01;-0,01;561,1;
-392;0,1;-0,004;0,001;561,1;
-391,5;0,7;-0,007;0,004;561,1;
-391;0,3;-0,019;0,011;561,1;
-390,5;0,6;0,017;-0,008;561;
-390;0,3;0,005;0,016;561;
-389,5;0,1;0;0;560,9;
-389;0,5;-0,02;0,01;561,2;
-388,5;0,6;-0,004;0;561,8;
-388;0,5;-0,012;0,013;561,7;
-387,5;0,7;-0,007;0,024;561,7;
-387;0,4;0,005;-0,009;561,6;
-386,5;0,5;-0,006;0,022;561,6;
-386;0,5;-0,009;0;561,5;
-385,5;0,6;-0,014;0,009;561,4;
-385;0,6;0,002;-0,001;561,4;
-384,5;0,9;-0,015;0,004;561,4;
-384;0,6;-0,012;-0,001;561,3;
-383,5;1;-0,004;-0,014;561,3;
-383;0,5;0,014;-0,01;561,1;
-382,5;0,6;-0,014;0,005;561,2;
-382;1,1;0,003;-0,022;561,1;
-381,5;0,5;-0,002;-0,005;561,1;
-381;1,6;0,017;0,024;561,1;
-380,5;0,6;-0,007;0,011;561;
-380;0,2;0,019;0,004;560,9;
-379,5;0,5;-0,002;0;560,9;
-379;0,4;-0,006;-0,008;561,2;
-378,5;0,2;-0,001;0,004;561,8;
