t (ms);Axis_1 [1] Default\P-Parameter\P-0-0065 Absolute voltage value, actual value(V eff);Axis_1 [1] Default\P-Parameter\P-0-0067 Phase current U, actual value(A);Axis_1 [1] Default\P-Parameter\P-0-0068 Phase current V, actual value(A);Axis_1 [1] Default\S-Parameter\S-0-0380 DC bus voltage(V)
-406;2,8;-0,015;0,04;561;
-405,5;1,7;-0,034;0,029;561;
-405;2,1;-0,031;0;561;
-404,5;0,2;-0,068;0,024;560,9;
-404;1,5;-0,04;0,004;560,8;
-403,5;2,6;-0,02;0,018;560,9;
-403;2,1;-0,009;0,011;560,7;
-402,5;0,7;-0,026;0,013;560,7;
-402;1,8;-0,03;0;560,6;
-401,5;1,9;-0,039;0,014;560,6;
-401;1,8;-0,012;0,011;560,6;
-400,5;2,7;-0,001;0,025;561;
-400;0,4;-0,051;0,018;560,9;
-399,5;1,9;-0,023;0;560,9;
-399;1,4;-0,03;0,02;560,8;
-398,5;2;-0,007;0,009;560,7;
-398;1,1;-0,038;0,016;560,7;
-397,5;0,5;-0,067;0,03;560,6;
-397;0,6;-0,055;0,038;560,5;
-396,5;1,4;-0,038;0,039;560,6;
-396;1,1;-0,041;0,037;560,5;
-395,5;2;-0,026;-0,004;560,6;
-395;2,9;0,003;0,008;560,5;
-394,5;0,9;-0,034;0,016;560,5;
-394;1,6;-0,015;0,011;560,4;
-393,5;1,3;-0,04;0,037;560,3;
-393;0,8;-0,029;0,024;560,3;
-392,5;1,2;-0,041;0,023;560,3;
-392;1,1;-0,046;0,008;560,3;
-391,5;1,9;-0,038;0,029;560,2;
-391;2,2;-0,041;0,049;560,3;
-390,5;1,5;-0,02;-0,001;561,2;
-390;2,8;-0,015;0,039;561,1;
-389,5;2,7;0,012;0,006;561;
-389;1,9;-0,025;0,004;561;
-388,5;1,4;-0,088;0,004;561;
-388;1,3;-0,036;0,04;561;
-387,5;0,9;-0,028;0,029;560,8;
-387;2,3;-0,017;0,045;560,8;
-386,5;0,6;-0,058;0,033;560,8;
-386;1,1;-0,025;0,013;560,7;
-385,5;1,7;-0,016;0,011;560,7;
-385;1;-0,062;0,049;560,6;
-384,5;1,1;-0,06;0,038;560,6;
-384;1;-0,031;0;560,6;
-383,5;0,3;-0,074;0,027;560,5;
-383;1,5;-0,034;0,015;560,4;
-382,5;1,8;-0,02;0,009;560,3;
-382;2,8;0;0,022;560,3;
-381,5;1,9;-0,024;0,009;560,3;
-381;1;-0,03;0,015;560,3;
-380,5;1,4;-0,05;0,019;560,6;
-380;1,7;-0,021;0,01;560,5;
-379,5;1,1;-0,036;0;560,5;
-379;1,3;-0,04;0,029;560,4;
-378,5;1,5;-0,038;-0,009;560,4;
-378;0,9;-0,04;0,004;560,4;
-377,5;1,3;-0,036;0,025;560,3;
-377;1,3;-0,045;-0,004;560,3;
-376,5;1,8;-0,065;0;560,2;
-376;1,5;-0,016;0,018;560,2;
-375,5;2,7;-0,006;0,005;560,2;
-375;2,4;-0,024;-0,004;560,1;
-374,5;1,5;-0,029;0,018;560,2;
-374;0,9;-0,05;0,005;560;
-373,5;1,6;-0,03;0,013;560,1;
-373;1,4;-0,026;0,033;560;
-372,5;2;-0,011;0,019;559,9;
-372;0,3;-0,059;0,038;559,9;
-371,5;0,7;-0,04;0,005;559,8;
-371;0,6;-0,084;0,029;560;
-370,5;1,1;-0,043;0,023;561,3;
-370;1,3;-0,033;0,011;561,3;
-369,5;0,9;-0,038;0,013;561,2;
-369;2,4;-0,021;0,001;561,2;
