t (ms);Axis_1 [1] Default\P-Parameter\P-0-0048 Effective velocity command value(U/min );Axis_1 [1] Default\S-Parameter\S-0-0040 Velocity feedback value(U/min );Axis_1 [1] Default\P-Parameter\P-0-0038 Torque-generating current, command value(A eff);Axis_1 [1] Default\S-Parameter\S-0-0347 Velocity error(U/min )
-406;0;1,1444;0,618;-1,1444;
-405,5;0;1,4305;0,618;-1,4305;
-405;0;-0,2861;0,611;0,2861;
-404,5;0;-1,6022;0,614;1,6022;
-404;0;-1,1444;0,613;1,1444;
-403,5;0;-1,3161;0,61;1,3161;
-403;0;0,1717;0,617;-0,1717;
-402,5;0;0,4005;0,612;-0,4005;
-402;0;0;0,618;0;
-401,5;0;-0,5722;0,621;0,5722;
-401;0;2,346;0,617;-2,346;
-400,5;0;2,346;0,618;-2,346;
-400;0;-0,8011;0,615;0,8011;
-399,5;0;0,1144;0,618;-0,1144;
-399;0;-0,9155;0,619;0,9155;
-398,5;0;0,6294;0,617;-0,6294;
-398;0;-1,8883;0,61;1,8883;
-397,5;0;-0,6866;0,616;0,6866;
-397;0;0,6294;0,614;-0,6294;
-396,5;0;1,7738;0,624;-1,7738;
-396;0;0,8583;0,616;-0,8583;
-395,5;0;-0,5722;0,611;0,5722;
-395;0;0,5722;0,619;-0,5722;
-394,5;0;0,515;0,629;-0,515;
-394;0;0,5722;0,618;-0,5722;
-393,5;0;0,6294;0,611;-0,6294;
-393;0;0,4578;0,606;-0,4578;
-392,5;0;-1,4877;0,616;1,4877;
-392;0;-0,9155;0,62;0,9155;
-391,5;0;-1,4305;0,612;1,4305;
-391;0;0,5722;0,614;-0,5722;
-390,5;0;0,0572;0,608;-0,0572;
-390;0;0,0572;0,611;-0,0572;
-389,5;0;-1,1444;0,616;1,1444;
-389;0;-0,2289;0,619;0,2289;
-388,5;0;-0,6866;0,614;0,6866;
-388;0;0,2861;0,617;-0,2861;
-387,5;0;-0,1717;0,608;0,1717;
-387;0;0,1144;0,616;-0,1144;
-386,5;0;-0,1144;0,62;0,1144;
-386;0;0,515;0,622;-0,515;
-385,5;0;0,1717;0,611;-0,1717;
-385;0;0,7439;0,618;-0,7439;
-384,5;0;-0,0572;0,614;0,0572;
-384;0;0,0572;0,621;-0,0572;
-383,5;0;0,7439;0,622;-0,7439;
-383;0;-1,0872;0,607;1,0872;
-382,5;0;-0,5722;0,615;0,5722;
-382;0;-0,8583;0,624;0,8583;
-381,5;0;0,3433;0,623;-0,3433;
-381;0;0,515;0,615;-0,515;
-380,5;0;2,8038;0,609;-2,8038;
-380;0;-0,0572;0,6;0,0572;
-379,5;0;-1,7738;0,621;1,7738;
-379;0;-1,03;0,64;1,03;
-378,5;0;0,2861;0,625;-0,2861;
-378;0;1,7166;0,616;-1,7166;
-377,5;0;0,6866;0,601;-0,6866;
-377;0;-0,1717;0,608;0,1717;
-376,5;0;-0,8011;0,622;0,8011;
-376;0;-2,346;0,624;2,346;
-375,5;0;1,1444;0,631;-1,1444;
-375;0;0,8583;0,61;-0,8583;
-374,5;0;0,0572;0,603;-0,0572;
-374;0;-0,1717;0,602;0,1717;
-373,5;0;-1,2016;0,607;1,2016;
-373;0;-1,3161;0,621;1,3161;
-372,5;0;-0,3433;0,634;0,3433;
-372;0;2,2888;0,625;-2,2888;
-371,5;0;0,8011;0,606;-0,8011;
-371;0;1,2589;0,601;-1,2589;
-370,5;0;0;0,609;0;
-370;0;-0,9155;0,618;0,9155;
-369,5;0;-1,2016;0,626;1,2016;
-369;0;0,4005;0,627;-0,4005;
-368,5;0;1,2016;0,615;-1,2016;
-368;0;1,4877;0,605;-1,4877;
-367,5;0;0,1717;0,611;-0,1717;
-367;0;-1,6594;0,62;1,6594;
-366,5;0;-1,0872;0,624;1,0872;
-366;0;-0,8583;0,619;0,8583;
