t (ms);Axis_1 [1] Default\P-Parameter\P-0-0038 Torque-generating current, command value(A eff);Axis_1 [1] Default\P-Parameter\P-0-0039 Flux-generating current, command value(A eff);Axis_1 [1] Default\P-Parameter\P-0-0043 Torque-generating current, actual value(A eff);Axis_1 [1] Default\P-Parameter\P-0-0044 Flux-generating current, actual value(A eff)
-406;0,037;0;-0,006;0,004;
-405,5;0,004;0;-0,017;0,01;
-405;-0,004;0;0,013;0,01;
-404,5;-0,001;0;-0,002;-0,004;
-404;0,011;0;-0,015;-0,006;
-403,5;-0,018;0;0,005;-0,008;
-403;0,014;0;-0,003;0,01;
-402,5;-0,029;0;-0,001;-0,009;
-402;-0,011;0;0,001;-0,008;
-401,5;-0,006;0;-0,008;0,001;
-401;-0,014;0;0,034;0,008;
-400,5;-0,004;0;0,023;0,009;
-400;-0,009;0;-0,018;0,003;
-399,5;-0,026;0;0,01;0,007;
-399;0,009;0;0,034;0,014;
-398,5;-0,001;0;0,004;-0,005;
-398;-0,022;0;0,032;0,004;
-397,5;0;0;-0,001;-0,011;
-397;0,011;0;0,008;-0,01;
-396,5;0,001;0;0,013;0,006;
-396;-0,038;0;-0,007;-0,003;
-395,5;-0,028;0;0,02;0,011;
-395;0;0;0,001;-0,002;
-394,5;0,012;0;-0,003;-0,005;
-394;-0,009;0;0,017;0,006;
-393,5;-0,004;0;-0,011;-0,009;
-393;0,007;0;0,009;0,01;
-392,5;0,001;0;0,007;0,003;
-392;-0,021;0;0,017;0,004;
-391,5;0,003;0;0,005;-0,001;
-391;0;0;0,005;0,004;
-390,5;0,001;0;-0,004;-0,008;
-390;0,006;0;0,023;0,011;
-389,5;0,002;0;0,031;0,006;
-389;-0,011;0;0,013;0,006;
-388,5;0,002;0;0,005;0,002;
-388;-0,002;0;0,001;0;
-387,5;0,014;0;-0,009;0,008;
-387;0,009;0;-0,02;0,012;
-386,5;0,011;0;-0,017;0,001;
-386;0,008;0;-0,013;-0,001;
-385,5;0,001;0;0,007;-0,005;
-385;-0,008;0;0,02;0,001;
-384,5;-0,013;0;-0,007;0;
-384;0,029;0;0,006;-0,002;
-383,5;-0,014;0;-0,011;-0,005;
-383;0,013;0;0,003;0;
-382,5;-0,007;0;-0,001;0,004;
-382;0,004;0;0,011;0,003;
-381,5;0,001;0;-0,003;0,011;
-381;-0,006;0;-0,003;0,003;
-380,5;0,018;0;-0,001;-0,004;
-380;-0,017;0;0,009;-0,006;
-379,5;-0,024;0;0,011;-0,003;
-379;-0,029;0;0,013;-0,002;
-378,5;0,026;0;0,011;-0,003;
-378;0,009;0;-0,004;0,005;
