t (ms);Axis_1 [1] Default\P-Parameter\P-0-0048 Effective velocity command value(U/min );Axis_1 [1] Default\S-Parameter\S-0-0040 Velocity feedback value(U/min );Axis_1 [1] Default\S-Parameter\S-0-0051 Position feedback value 1(Grad);Axis_1 [1] Default\SubtractionAxis_1 [1] Default\P-Parameter\P-0-0048 Effective velocity command value-Axis_1 [1] Default\S-Parameter\S-0-0040 Velocity feedback value(U/min )
-406;0;-1,2589;-21048,9774;1,2589;
-405,5;0;0,6294;-21048,9762;-0,6294;
-405;0;1,03;-21048,9745;-1,03;
-404,5;0;0,8011;-21048,975;-0,8011;
-404;0;-1,6022;-21048,9768;1,6022;
-403,5;0;0,6294;-21048,9765;-0,6294;
-403;0;0,1144;-21048,9768;-0,1144;
-402,5;0;1,03;-21048,9765;-1,03;
-402;0;-0,2289;-21048,9769;0,2289;
-401,5;0;-0,6866;-21048,9773;0,6866;
-401;0;0,7439;-21048,9757;-0,7439;
-400,5;0;-0,3433;-21048,9751;0,3433;
-400;0;0,6294;-21048,9762;-0,6294;
-399,5;0;-1,2589;-21048,9769;1,2589;
-399;0;2,2888;-21048,9751;-2,2888;
-398,5;0;-1,4305;-21048,9785;1,4305;
-398;0;1,1444;-21048,9762;-1,1444;
-397,5;0;0,6866;-21048,9756;-0,6866;
-397;0;0,4005;-21048,9762;-0,4005;
-396,5;0;0,8583;-21048,975;-0,8583;
-396;0;-0,4005;-21048,9754;0,4005;
-395,5;0;-1,2589;-21048,9777;1,2589;
-395;0;1,6594;-21048,9761;-1,6594;
-394,5;0;-0,6294;-21048,9779;0,6294;
-394;0;1,1444;-21048,9774;-1,1444;
-393,5;0;0;-21048,9787;0;
-393;0;1,2016;-21048,9767;-1,2016;
-392,5;0;0,1717;-21048,9774;-0,1717;
-392;0;0,3433;-21048,9775;-0,3433;
-391,5;0;0,1717;-21048,9779;-0,1717;
-391;0;-0,8011;-21048,978;0,8011;
-390,5;0;-1,1444;-21048,9779;1,1444;
-390;0;0,5722;-21048,9773;-0,5722;
-389,5;0;1,03;-21048,9765;-1,03;
-389;0;1,3161;-21048,9775;-1,3161;
-388,5;0;0,9155;-21048,9769;-0,9155;
-388;0;0,3433;-21048,9774;-0,3433;
-387,5;0;0,5722;-21048,9775;-0,5722;
-387;0;0,8583;-21048,9769;-0,8583;
-386,5;0;-0,2289;-21048,9769;0,2289;
-386;0;0,1717;-21048,9756;-0,1717;
-385,5;0;0,1717;-21048,9756;-0,1717;
-385;0;-1,4877;-21048,9781;1,4877;
-384,5;0;-0,1717;-21048,978;0,1717;
-384;0;0,5722;-21048,9777;-0,5722;
-383,5;0;0,7439;-21048,9771;-0,7439;
-383;0;0,6866;-21048,9765;-0,6866;
-382,5;0;-0,9155;-21048,9769;0,9155;
-382;0;-0,2289;-21048,9773;0,2289;
-381,5;0;-1,03;-21048,9768;1,03;
-381;0;-0,515;-21048,9773;0,515;
-380,5;0;-0,0572;-21048,9776;0,0572;
-380;0;1,545;-21048,9762;-1,545;
-379,5;0;-0,4578;-21048,977;0,4578;
-379;0;0,3433;-21048,9762;-0,3433;
-378,5;0;-0,8583;-21048,9767;0,8583;
-378;0;-1,8311;-21048,9782;1,8311;
-377,5;0;0,0572;-21048,9763;-0,0572;
-377;0;-0,0572;-21048,9758;0,0572;
-376,5;0;-1,2589;-21048,9777;1,2589;
-376;0;2,1744;-21048,9758;-2,1744;
-375,5;0;0,2289;-21048,9749;-0,2289;
-375;0;0,8583;-21048,9761;-0,8583;
-374,5;0;-0,6866;-21048,9773;0,6866;
-374;0;-0,2289;-21048,9767;0,2289;
-373,5;0;0,0572;-21048,9762;-0,0572;
-373;0;1,0872;-21048,9764;-1,0872;
-372,5;0;-0,3433;-21048,9775;0,3433;
-372;0;0,4005;-21048,9762;-0,4005;
