t (ms);Axis_1 [1] Default\P-Parameter\P-0-0038 Torque-generating current, command value(A eff);Axis_1 [1] Default\P-Parameter\P-0-0039 Flux-generating current, command value(A eff);Axis_1 [1] Default\P-Parameter\P-0-0043 Torque-generating current, actual value(A eff);Axis_1 [1] Default\P-Parameter\P-0-0044 Flux-generating current, actual value(A eff)
-406;0,007;0;0,008;-0,002;
-405,5;0,019;0;0;0,001;
-405;0,006;0;-0,002;0,012;
-404,5;0,024;0;-0,02;-0,007;
-404;0;0;-0,002;0;
-403,5;0,008;0;-0,017;-0,007;
-403;0,003;0;-0,016;-0,005;
-402,5;-0,012;0;0,006;-0,003;
-402;-0,003;0;0,005;-0,003;
-401,5;0,001;0;0,019;0,004;
-401;-0,001;0;0,002;0,009;
-400,5;-0,009;0;0,003;0;
-400;0,005;0;0,004;0,002;
-399,5;-0,002;0;0,016;0,003;
-399;-0,001;0;0;-0,009;
-398,5;-0,004;0;0,008;0,002;
-398;0,003;0;0,003;-0,001;
-397,5;0,003;0;-0,01;0;
-397;0;0;-0,009;0,002;
-396,5;-0,005;0;0,009;0,002;
-396;-0,012;0;-0,016;0;
-395,5;-0,014;0;-0,009;0,001;
-395;-0,01;0;0,004;0;
-394,5;-0,002;0;0,016;0,003;
-394;0,011;0;0,004;-0,01;
-393,5;0,006;0;-0,008;0,001;
-393;0,001;0;-0,013;0;
-392,5;-0,008;0;-0,018;0,006;
-392;-0,011;0;0,001;0,006;
-391,5;0,002;0;0;0;
-391;0,009;0;-0,01;-0,002;
-390,5;-0,003;0;-0,007;0,005;
-390;-0,002;0;0,031;0,004;
-389,5;-0,004;0;0;0;
-389;0;0;0;-0,001;
-388,5;0,003;0;0,003;0,012;
-388;0;0;0,009;-0,017;
-387,5;-0,004;0;-0,01;-0,007;
-387;0;0;-0,009;0,002;
-386,5;-0,001;0;-0,002;0,003;
-386;-0,003;0;0,006;0;
-385,5;-0,001;0;-0,008;0,002;
-385;-0,002;0;-0,004;0,013;
-384,5;0,001;0;0,008;0,004;
-384;-0,009;0;0,014;0,004;
-383,5;-0,005;0;-0,008;-0,01;
-383;-0,005;0;0,018;0,002;
-382,5;0,006;0;-0,017;-0,005;
-382;0,006;0;-0,001;0,004;
-381,5;0;0;-0,006;0;
-381;-0,022;0;0,022;-0,01;
-380,5;0,011;0;0,023;-0,001;
-380;0,007;0;0;-0,001;
-379,5;0,006;0;-0,005;0;
-379;0,012;0;0,024;-0,001;
-378,5;0,003;0;0,01;0;
-378;0,01;0;-0,019;0;
-377,5;-0,003;0;-0,004;0,002;
-377;-0,005;0;-0,005;0;
-376,5;0,019;0;0,01;0,002;
-376;0,003;0;-0,031;-0,002;
-375,5;0,006;0;0,001;-0,002;
-375;-0,008;0;0,002;0,005;
-374,5;0;0;-0,005;-0,014;
-374;-0,006;0;-0,001;0,007;
-373,5;0,006;0;-0,014;-0,003;
-373;0,014;0;0,004;0,004;
-372,5;-0,002;0;0,005;0,008;
-372;-0,008;0;-0,028;-0,004;
-371,5;-0,006;0;0;0,011;
-371;0,003;0;0;0,002;
-370,5;-0,005;0;0,005;0;
-370;0,013;0;-0,003;0,002;
-369,5;0;0;0,007;-0,003;
-369;0,004;0;0;0,01;
-368,5;0,004;0;0,005;0,002;
-368;-0,005;0;-0,01;-0,001;
-367,5;0;0;-0,004;0,006;
-367;0,003;0;0;-0,01;
