t (ms);Axis_1 [1] Default\P-Parameter\P-0-0048 Effective velocity command value(U/min );Axis_1 [1] Default\S-Parameter\S-0-0040 Velocity feedback value(U/min );Axis_1 [1] Default\P-Parameter\P-0-0038 Torque-generating current, command value(A eff);Axis_1 [1] Default\S-Parameter\S-0-0347 Velocity error(U/min )
-406,5;0;-0,4578;-0,001;0,4578;
-406;0;0,7439;0;-0,7439;
-405,5;0;1,0872;-0,002;-1,0872;
-405;0;-0,1144;-0,001;0,1144;
-404,5;0;0,2289;0,002;-0,2289;
-404;0;-0,515;0,002;0,515;
-403,5;0;-0,1717;0,009;0,1717;
-403;0;0,3433;0;-0,3433;
-402,5;0;1,03;0,004;-1,03;
-402;0;0,8583;0,008;-0,8583;
-401,5;0;-0,6294;0,002;0,6294;
-401;0;0,1717;0,002;-0,1717;
-400,5;0;0,0572;0;-0,0572;
-400;0;1,2589;-0,001;-1,2589;
-399,5;0;0,9155;-0,004;-0,9155;
-399;0;1,3161;-0,001;-1,3161;
-398,5;0;-0,1144;-0,005;0,1144;
-398;0;-2,0027;-0,003;2,0027;
-397,5;0;0,9727;0,006;-0,9727;
-397;0;0,6294;0,006;-0,6294;
-396,5;0;1,4305;0,009;-1,4305;
-396;0;0,2289;0,001;-0,2289;
-395,5;0;-0,1144;-0,001;0,1144;
-395;0;0,9155;-0,003;-0,9155;
-394,5;0;-1,9455;-0,01;1,9455;
-394;0;-0,8011;-0,003;0,8011;
-393,5;0;-0,1144;0;0,1144;
-393;0;0,515;0,003;-0,515;
-392,5;0;0,3433;0,004;-0,3433;
-392;0;-0,5722;-0,002;0,5722;
-391,5;0;-0,8583;-0,001;0,8583;
-391;0;0,4578;-0,001;-0,4578;
-390,5;0;-0,8583;-0,007;0,8583;
-390;0;-0,8583;-0,001;0,8583;
-389,5;0;0,5722;0,003;-0,5722;
-389;0;-0,1717;0,004;0,1717;
-388,5;0;0,1144;0;-0,1144;
-388;0;0,6866;0,01;-0,6866;
-387,5;0;0,1144;0;-0,1144;
-387;0;0,5722;-0,006;-0,5722;
-386,5;0;0,8583;0;-0,8583;
-386;0;0,2861;-0,002;-0,2861;
-385,5;0;-1,0872;-0,005;1,0872;
-385;0;-0,9727;0,001;0,9727;
-384,5;0;-1,8311;0;1,8311;
-384;0;-0,1717;-0,004;0,1717;
-383,5;0;-0,6294;0,002;0,6294;
-383;0;1,2589;-0,001;-1,2589;
-382,5;0;-0,0572;-0,002;0,0572;
-382;0;-0,8583;-0,005;0,8583;
-381,5;0;-0,0572;0,005;0,0572;
-381;0;0,2289;0,008;-0,2289;
-380,5;0;-0,9727;0,003;0,9727;
-380;0;0;0;0;
-379,5;0;0,0572;-0,005;-0,0572;
-379;0;-0,2289;-0,005;0,2289;
-378,5;0;-1,0872;-0,005;1,0872;
-378;0;0;0,001;0;
-377,5;0;-0,2289;0,002;0,2289;
-377;0;-0,1144;0,007;0,1144;
-376,5;0;-0,4005;0,001;0,4005;
-376;0;0;0;0;
-375,5;0;1,3733;0,002;-1,3733;
-375;0;0,5722;-0,001;-0,5722;
-374,5;0;0,2861;0,002;-0,2861;
-374;0;-1,3161;0;1,3161;
-373,5;0;-1,03;0;1,03;
-373;0;-0,6866;-0,003;0,6866;
-372,5;0;2,0027;0,011;-2,0027;
-372;0;0,4578;-0,002;-0,4578;
