t (ms);Axis_1 [1] Default\P-Parameter\P-0-0065 Absolute voltage value, actual value(V eff);Axis_1 [1] Default\P-Parameter\P-0-0067 Phase current U, actual value(A);Axis_1 [1] Default\P-Parameter\P-0-0068 Phase current V, actual value(A);Axis_1 [1] Default\S-Parameter\S-0-0380 DC bus voltage(V)
-406;4,1;0,264;-0,243;557,7;
-405,5;3,8;0,236;-0,241;557,6;
-405;3,3;0,263;-0,267;557,6;
-404,5;3,3;0,288;-0,278;557,6;
-404;3,3;0,251;-0,251;557,5;
-403,5;4,4;0,222;-0,24;557,4;
-403;3,6;0,266;-0,299;557,4;
-402,5;4,2;0,239;-0,25;557,4;
-402;4,4;0,242;-0,254;557,3;
-401,5;4,5;0,235;-0,273;557,3;
-401;4,4;0,21;-0,248;557,3;
-400,5;2,5;0,268;-0,289;557,3;
-400;3;0,279;-0,275;557,2;
-399,5;4;0,244;-0,279;557,2;
-399;4,5;0,212;-0,267;557,1;
-398,5;4,8;0,253;-0,243;557,3;
-398;4,1;0,2;-0,243;557,8;
-397,5;4,8;0,276;-0,265;558;
-397;3,9;0,266;-0,256;557,9;
-396,5;4,2;0,239;-0,238;557,8;
-396;4,6;0,245;-0,258;557,8;
-395,5;5,9;0,206;-0,225;557,8;
-395;2,4;0,266;-0,28;557,6;
-394,5;3,2;0,251;-0,27;557,6;
-394;3;0,26;-0,268;557,5;
-393,5;3,7;0,235;-0,253;557,5;
-393;4;0,279;-0,26;557,4;
-392,5;4,2;0,249;-0,273;557,4;
-392;4,4;0,227;-0,236;557,4;
-391,5;5,1;0,231;-0,246;557,2;
-391;3,9;0,251;-0,27;557,2;
-390,5;3,3;0,201;-0,253;557,2;
-390;4,2;0,259;-0,267;557,2;
-389,5;4,1;0,25;-0,277;557,1;
-389;3,7;0,234;-0,244;557;
-388,5;4,4;0,235;-0,249;557,1;
-388;4,8;0,229;-0,238;557,7;
-387,5;3,1;0,264;-0,312;557,8;
-387;2,8;0,261;-0,274;557,8;
-386,5;2,7;0,236;-0,259;557,8;
-386;4,4;0,244;-0,256;557,7;
-385,5;5;0,239;-0,246;557,7;
-385;3,4;0,249;-0,273;557,6;
-384,5;2,8;0,236;-0,282;557,6;
-384;3,1;0,297;-0,291;557,5;
-383,5;4,9;0,21;-0,221;557,4;
-383;3,4;0,236;-0,267;557,4;
-382,5;4,3;0,242;-0,253;557,3;
-382;3,4;0,276;-0,27;557,4;
-381,5;2;0,254;-0,288;557,3;
-381;4,4;0,237;-0,259;557,3;
-380,5;3;0,256;-0,298;557,2;
-380;3;0,263;-0,282;557,2;
-379,5;3;0,235;-0,23;557,1;
-379;3,1;0,297;-0,298;557,1;
-378,5;3,5;0,259;-0,262;557,1;
-378;5,1;0,234;-0,255;557,8;
